rank;title;revenue;ceo;position;sector;industry;hq;website;years;employees;image;
446;TreeHouse Foods;$6,307.1;Steven Oakland;President, Chief Executive Officer & Director;Food, Beverages & Tobacco;Food Consumer Products;Oak Brook, Ill.;www.treehousefoods.com;2;13,489;f500-2018e28094treehouse-foods;
447;Wynn Resorts;$6,306.4;Matthew O. Maddox;President, Chief Executive Officer & Director;Hotels, Restaurants & Leisure;Hotels, Casinos, Resorts;Las Vegas;www.wynnresorts.com;5;25,200;f500-2018-wynn-resorts;
448;Olin;$6,268.4;John E. Fischer;Chairman, President & Chief Executive Officer;Chemicals;Chemicals;Clayton, Mo.;www.olin.com;5;6,400;f500-2018-olin;
449;American Axle & Manufacturing;$6,266;David C. Dauch;Chairman & Chief Executive Officer;Motor Vehicles & Parts;Motor Vehicles and Parts;Detroit;www.aam.com;4;25,000;f500-2018-american-axle-manufacturing;
450;Old Republic International;$6,263.1;Aldo C. Zucaro;Chairman & Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);Chicago;www.oldrepublic.com;7;8,700;f500-2018e28094old-republic-international;
451;Chemours;$6,183;Mark P. Vergnano;President, Chief Executive Officer & Director;Chemicals;Chemicals;Wilmington, Del.;www.chemours.com;2;7,000;f500-2018e28094chemours;
452;iHeartMedia;$6,178.2;Robert W. Pittman;Chairman & Chief Executive Officer;Media;Entertainment;San Antonio;www.iheartmedia.com;18;18,700;f500-2018e28094iheartmedia;
453;Ameren;$6,177;Warner L. Baxter;Chairman, President & Chief Executive Officer;Energy;Utilities: Gas and Electric;St. Louis;www.ameren.com;21;8,615;f500-2018e28094ameren;
454;Arthur J. Gallagher;$6,159.6;J. Patrick Gallagher Jr.;Chairman, President & Chief Executive Officer;Financials;Diversified Financials;Rolling Meadows, Ill.;www.ajg.com;3;26,783;f500-2018-gallagher-arthur-j;
455;Celanese;$6,140;Mark C. Rohr;Chairman, President & Chief Executive Officer;Chemicals;Chemicals;Irving, Texas;www.celanese.com;13;7,592;f500-2018-celanese;
456;Sealed Air;$6,130.6;Edward L. Doheny II;President, Chief Executive Officer & Director;Materials;Packaging, Containers;Charlotte, N.C.;www.sealedair.com;21;15,000;f500-2018-sealed-air1;
457;UGI;$6,120.7;John L. Walsh;President, Chief Executive Officer & Director;Energy;Energy;King of Prussia, Pa.;www.ugicorp.com;14;13,000;f500-2018-ugi;
458;Realogy Holdings;$6,114;Ryan M. Schneider;President, Chief Executive Officer & Director;Financials;Real estate;Madison, N.J.;www.realogy.com;8;11,800;f500-2018-realogy-holdings;
459;Burlington Stores;$6,110;Thomas A. Kingsbury;Chairman, President & Chief Executive Officer;Retailing;Specialty Retailers: Apparel;Burlington, N.J.;www.burlington.com;3;40,000;f500-2018-burlington-stores;
460;Regions Financial;$6,093;John M. Turner Jr.;Chairman & Chief Executive Officer;Financials;Commercial Banks;Birmingham, Ala.;www.regions.com;20;21,714;f500-2018-regions-financial;
461;AK Steel Holding;$6,080.5;Roger K. Newport;Chairman & Chief Executive Officer;Materials;Metals;West Chester, Ohio;www.aksteel.com;18;9,200;f500-2018-ak-steel-holding;
462;Securian Financial Group;$6,066.5;Christopher M. Hilger;Chairman, President & Chief Executive Officer;Financials;Insurance: Life, Health (stock);St. Paul, Minn.;www.securian.com;1;5,000;f500-2018-securian-financial-group;
463;S&P Global;$6,063;Douglas L. Peterson;President, Chief Executive Officer & Director;Business Services;Financial Data Services;New York City;www.spglobal.com;24;20,400;f500-2018-sp-global;
464;Markel;$6,061.7;Thomas S. Gayner/Richard R. Whitt III;Co-Chief Executive Officer & Director;Financials;Insurance: Property and Casualty (Stock);Glen Allen, Va.;www.markelcorp.com;3;15,600;f500-2018-markel;
465;TravelCenters of America;$6,051.6;Andrew J. Rebholz;Chief Executive Officer & Director;Retailing;Specialty Retailers: Other;Westlake, Ohio;www.ta-petro.com;11;19,611;f500-2018-travelcenters-of-america;
466;Conduent;$6,022;Ashok Vemuri;Chairman & Chief Executive Officer;Business Services;Diversified Outsourcing Services;Florham Park, N.J.;www.conduent.com;1;90,000;f500-2018-conduent;
467;M&T Bank Corp.;$6,018.9;Ren� F. Jones;Chairman & Chief Executive Officer;Financials;Commercial Banks;Buffalo, N.Y.;www.mtb.com;3;16,354;f500-2018-mt-bank-corp;
468;Clorox;$5,973;Benno O. Dorer;Chairman & Chief Executive Officer;Household Products;Household and Personal Products;Oakland, Calif.;www.thecloroxcompany.com;19;8,100;f500-2018-clorox;
469;AmTrust Financial Services;$5,958.9;Barry D. Zyskind;Chairman, President & Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);New York City;www.amtrustfinancial.com;2;9,300;f500-2018-amtrust-financial-services;
470;KKR;$5,930;Henry R. Kravis/George R. Roberts;Co-Chairman & Co-Chief Executive Officer;Financials;Securities;New York City;www.kkr.com;6;1,184;f500-2018-kkr;
471;Ulta Beauty;$5,884.5;Mary N. Dillon;Chairman & Chief Executive Officer;Retailing;Specialty Retailers: Other;Bolingbrook, Ill.;www.ulta.com;1;24,200;f500-2018-ulta-beauty;
472;Yum Brands;$5,878;Greg Creed;Chief Executive Officer & Director;Hotels, Restaurants & Leisure;Food Services;Louisville, Ky.;www.yum.com;20;60,000;f500-2018-yum-brands;
473;Regeneron Pharmaceuticals;$5,872.2;Leonard S. Schleifer;President, Chief Executive Officer & Director;Health Care;Pharmaceuticals;Tarrytown, N.Y.;www.regeneron.com;1;6,200;f500-2018-regeneron-pharmaceuticals;
474;Windstream Holdings;$5,852.9;Anthony W. Thomas;President, Chief Executive Officer & Director;Telecommunications;Telecommunications;Little Rock, Ark.;www.windstream.com;6;12,979;f500-2018-windstream-holdings;
475;Magellan Health;$5,838.6;Barry M. Smith;Chairman & Chief Executive Officer;Health Care;Health Care: Insurance and Managed Care;Scottsdale, Ariz.;www.magellanhealth.com;1;10,700;f500-2018-magellan-health;
476;Western & Southern Financial;$5,836.3;John F. Barrett;Chairman, President & Chief Executive Officer;Financials;Insurance: Life, Health (Mutual);Cincinnati;www.westernsouthern.com;14;2,226;f500-2018-western-and-southern-financial;
477;Intercontinental Exchange;$5,834;Jeffrey C. Sprecher;Chairman & Chief Executive Officer;Financials;Securities;Atlanta;www.theice.com;2;4,952;f500-2018-intercontinental-exchange;
478;Ingredion;$5,832;James P. Zallie;President, Chief Executive Officer & Director;Food, Beverages & Tobacco;Food Production;Westchester, Ill.;www.ingredion.com;7;11,000;f500-2018-ingredion;
479;Wyndham Destinations;$5,821;Michael D. Brown;Chairman & Chief Executive Officer;Hotels, Restaurants & Leisure;Hotels, Casinos, Resorts;Parsippany, N.J.;www.wyndhamdestinations.com;5;39,200;f500-2018-wyndham-worldwide;
480;Toll Brothers;$5,815.1;Douglas C. Yearley Jr.;Chairman & Chief Executive Officer;Engineering & Construction;Homebuilders;Horsham, Pa.;www.tollbrothers.com;6;4,500;f500-2018-toll-brothers;
481;Seaboard;$5,809;Steven J. Bresky;Chairman, President & Chief Executive Officer;Food, Beverages & Tobacco;Food Production;Merriam, Kans.;www.seaboardcorp.com;8;11,800;f500-2018-seaboard;
482;Booz Allen Hamilton;$5,804.3;Horacio D. Rozanski;President, Chief Executive Officer & Director;Technology;Information Technology Services;McLean, Va.;www.boozallen.com;8;23,300;f500-2018-booz-allen-hamilton;
483;First American Financial;$5,772.4;Dennis J. Gilmore;Chairman & Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);Santa Ana, Calif.;www.firstam.com;4;18,705;f500-2018-first-american-financial;
484;Cincinnati Financial;$5,732.4;Steven J. Johnston;President, Chief Executive Officer & Director;Financials;Insurance: Property and Casualty (Stock);Fairfield, Ohio;www.cinfin.com;4;4,925;f5002018-cincinnati-financial;
485;Avon Products;$5,715.6;Jan Zijderveld;Chairman & Chief Executive Officer;Household Products;Household and Personal Products;Rye, N.Y.;www.avoninvestor.com;24;25,000;f500-2018-avon-products;
486;Northern Trust;$5,715.5;Michael G. O'Grady;President, Chief Executive Officer & Director;Financials;Commercial Banks;Chicago;www.northerntrust.com;7;18,100;f500-2018-northern-trust;
487;Fiserv;$5,696;Jeffery W. Yabuki;President, Chief Executive Officer & Director;Business Services;Financial Data Services;Brookfield, Wis.;www.fiserv.com;8;24,000;f500-2018-fiserv;
488;Harley-Davidson;$5,647.2;Matthew S. Levatich;President, Chief Executive Officer & Director;Transportation;Transportation Equipment;Milwaukee;www.harley-davidson.com;17;5,800;f500-2018-harley-davidson;
489;Cheniere Energy;$5,601;Jack A. Fusco;President, Chief Executive Officer & Director;Energy;Energy;Houston;www.cheniere.com;1;1,230;f500-2018-cheniere-energy;
490;Patterson;$5,593.1;Mark S. Walchirk;President, Chief Executive Officer & Director;Wholesalers;Wholesalers: Health Care;St. Paul, Minn.;www.pattersoncompanies.com;2;7,500;f500-2018-patterson;
491;Peabody Energy;$5,578.8;Glenn L. Kellow;President, Chief Executive Officer & Director;Energy;Mining, Crude-Oil Production;St. Louis;www.peabodyenergy.com;13;7,100;f500-2018-peabody-energy;
492;ON Semiconductor;$5,543.1;Keith D. Jackson;President, Chief Executive Officer & Director;Technology;Semiconductors and Other Electronic Components;Phoenix;www.onsemi.com;1;34,000;f500-2018-on-semiconductor;
493;Simon Property Group;$5,538.6;David E. Simon;Chairman & Chief Executive Officer;Financials;Real estate;Indianapolis;www.simon.com;5;4,150;f500-2018-simon-property-group;
494;Western Union;$5,524.3;Hikmet Ersek;President, Chief Executive Officer & Director;Business Services;Financial Data Services;Englewood, Colo.;www.westernunion.com;12;11,500;f550-2018-western-union;
495;NetApp;$5,519;George Kurian;President, Chief Executive Officer & Director;Technology;Computers, Office Equipment;Sunnyvale, Calif.;www.netapp.com;7;10,100;f500-2018-netapp;
496;Polaris Industries;$5,504.8;Scott W. Wine;Chairman & Chief Executive Officer;Transportation;Transportation Equipment;Medina, Minn.;www.polaris.com;1;11,000;f500-2018-polaris-industries;
497;Pioneer Natural Resources;$5,455;Timothy L. Dove;President, Chief Executive Officer & Director;Energy;Mining, Crude-Oil Production;Irving, Texas;www.pxd.com;2;3,836;f500-2018-pioneer-natural-resources;
498;ABM Industries;$5,453.6;Scott B. Salmirs;President, Chief Executive Officer & Director;Business Services;Diversified Outsourcing Services;New York City;www.abm.com;3;140,000;f500-2018-abm-industries;
499;Vistra Energy;$5,430;Curtis A. Morgan;President, Chief Executive Officer & Director;Energy;Energy;Irving, Texas;www.vistraenergy.com;2;4,150;f500-2018-vistra-energy;
500;Cintas;$5,428.9;Scott D. Farmer;Chairman & Chief Executive Officer;Business Services;Diversified Outsourcing Services;Cincinnati;www.cintas.com;1;42,000;f500-2018-cintas;
501;Hess;$5,405;John B. Hess;Chairman & Chief Executive Officer;Energy;Mining, Crude-Oil Production;New York City;www.hess.com;-;2,075;NA;
502;Host Hotels & Resorts;$5,387;James F. Risoleo;President, Chief Executive Officer & Director;Financials;Real estate;Bethesda, Md.;www.hosthotels.com;-;205;NA;
503;Kelly Services;$5,374.4;George S. Corona;President, Chief Executive Officer & Director;Business Services;Temporary Help;Troy, Mich.;www.kellyservices.com;-;7,800;NA;
504;Genesis Healthcare;$5,373.7;George V. Hager Jr.;Chief Executive Officer & Director;Health Care;Health Care: Medical Facilities;Kennett Square, Pa.;www.genesishcc.com;-;68,700;NA;
505;Michaels Cos.;$5,362;Carl S. Rubin;Chairman & Chief Executive Officer;Retailing;Specialty Retailers: Other;Irving, Texas;www.michaels.com;-;30,500;NA;
506;Advanced Micro Devices;$5,329;Lisa T. Su;President, Chief Executive Officer & Director;Technology;Semiconductors and Other Electronic Components;Santa Clara, Calif.;www.amd.com;-;8,900;NA;
507;Zoetis;$5,307;Juan Ram�n Alaix;Chairman & Chief Executive Officer;Health Care;Pharmaceuticals;Parsippany, N.J.;www.zoetis.com;-;9,200;NA;
508;Williams-Sonoma;$5,292.4;Laura J. Alber;President, Chief Executive Officer & Director;Retailing;Specialty Retailers: Other;San Francisco;www.williams-sonomainc.com;-;19,350;NA;
509;Fortune Brands Home & Security;$5,283.3;Christopher J. Klein;Chairman & Chief Executive Officer;Household Products;Home Equipment, Furnishings;Deerfield, Ill.;www.fbhs.com;-;23,870;NA;
510;Big Lots;$5,271;Bruce K. Thorn;Executive V.P.-Principal Executive Officer;Retailing;Specialty Retailers: Other;Columbus, Ohio;www.biglots.com;-;22,900;NA;
511;Robert Half International;$5,266.8;Harold M. Messmer Jr.;Chairman & Chief Executive Officer;Business Services;Temporary Help;Menlo Park, Calif.;www.roberthalf.com;-;17,200;NA;
512;Post Holdings;$5,225.8;Robert V. Vitale;President, Chief Executive Officer & Director;Food, Beverages & Tobacco;Food Consumer Products;St. Louis;www.postholdings.com;-;11,410;NA;
513;Hasbro;$5,209.8;Brian D. Goldner;Chairman & Chief Executive Officer;Household Products;Toys, Sporting Goods;Pawtucket, R.I.;www.hasbro.com;-;5,400;NA;
514;Hanover Insurance Group;$5,184.4;John C. Roche;President, Chief Executive Officer & Director;Financials;Insurance: Property and Casualty (Stock);Worcester, Mass.;www.hanover.com;-;4,600;NA;
515;Navient;$5,179;John F. Remondi;President, Chief Executive Officer & Director;Financials;Diversified Financials;Wilmington, Del.;www.navient.com;-;6,700;NA;
516;Intuit;$5,177;Brad D. Smith;Chairman, President & Chief Executive Officer;Technology;Computer Software;Mountain View, Calif.;www.intuit.com;-;8,200;NA;
517;Domtar;$5,157;John D. Williams;President, Chief Executive Officer & Director;Materials;Forest and Paper Products;Fort Mill, S.C.;www.domtar.com;-;10,000;NA;
518;Marathon Oil;$5,153;Lee M. Tillman;President, Chief Executive Officer & Director;Energy;Mining, Crude-Oil Production;Houston;www.marathonoil.com;-;2,300;NA;
519;Cerner;$5,142.3;D. Brent Shafer;Chairman & Chief Executive Officer;Health Care;Health Care: Pharmacy and Other Services;North Kansas City, Mo.;www.cerner.com;-;26,000;NA;
520;Analog Devices;$5,107.5;Vincent T. Roche;President, Chief Executive Officer & Director;Technology;Semiconductors and Other Electronic Components;Norwood, Mass.;www.analog.com;-;15,300;NA;
521;Telephone & Data Systems;$5,044;LeRoy T. Carlson Jr.;President, Chief Executive Officer & Director;Telecommunications;Telecommunications;Chicago;www.tdsinc.com;-;9,900;NA;
522;Essendant;$5,037.3;Richard D. Phillips;President, Chief Executive Officer & Director;Wholesalers;Wholesalers: Electronics and Office Equipment;Deerfield, Ill.;www.essendant.com;-;6,400;NA;
523;Sonoco Products;$5,036.7;Robert C. Tiede;President, Chief Executive Officer & Director;Materials;Packaging, Containers;Hartsville, S.C.;www.sonoco.com;-;21,000;NA;
524;Juniper Networks;$5,027.2;Rami Rahim;Chairman & Chief Executive Officer;Technology;Network and Other Communications Equipment;Sunnyvale, Calif.;www.juniper.net;-;9,381;NA;
525;Commercial Metals;$4,999.1;Barbara R. Smith;Chairman, President & Chief Executive Officer;Materials;Metals;Irving, Texas;www.cmc.com;-;8,797;NA;
526;CSRA;$4,993;Lawrence B. Prior III;Chief Executive Officer & Director;Technology;Information Technology Services;Falls Church, Va.;www.csra.com;-;18,500;NA;
527;Under Armour;$4,976.6;Kevin A. Plank;Chairman & Chief Executive Officer;Apparel;Apparel;Baltimore;www.uabiz.com;-;11,350;NA;
528;RPM International;$4,958.2;Frank C. Sullivan;Chairman & Chief Executive Officer;Chemicals;Chemicals;Medina, Ohio;www.rpminc.com;-;14,318;NA;
529;Total System Services;$4,928;M. Troy Woods;Chairman, President & Chief Executive Officer;Business Services;Financial Data Services;Columbus, Ga.;www.tsys.com;-;11,800;NA;
530;Levi Strauss;$4,904;Charles V. Bergh;President, Chief Executive Officer & Director;Apparel;Apparel;San Francisco;www.levistrauss.com;-;13,800;NA;
531;Brunswick;$4,897.6;Mark D. Schwabero;Chairman & Chief Executive Officer;Transportation;Transportation Equipment;Mettawa, Ill.;www.brunswick.com;-;15,116;NA;
532;YRC Worldwide;$4,891;Darren D. Hawkins;Chief Executive Officer;Transportation;Trucking, Truck Leasing;Overland Park, Kans.;www.yrcw.com;-;32,000;NA;
533;Mattel;$4,882;Ynon Kreiz;Chief Executive Officer;Household Products;Toys, Sporting Goods;El Segundo, Calif.;www.mattel.com;-;28,000;NA;
534;FM Global;$4,874.8;Thomas A. Lawson;Chairman, President & Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);Johnston, R.I.;www.fmglobal.com;-;5,441;NA;
535;NiSource;$4,874.6;Joseph Hamrock;President, Chief Executive Officer & Director;Energy;Utilities: Gas and Electric;Merrillville, Ind.;www.nisource.com;-;8,175;NA;
536;Caesars Entertainment;$4,852;Mark P. Frissora;President, Chief Executive Officer & Director;Hotels, Restaurants & Leisure;Hotels, Casinos, Resorts;Las Vegas;www.caesars.com;-;65,000;NA;
537;Electronic Arts;$4,845;Andrew Wilson;Chief Executive Officer & Director;Technology;Entertainment;Redwood City, Calif.;www.ea.com;-;8,800;NA;
538;Dynegy;$4,842;Curtis A. Morgan;CEO-Vistra Energy;Energy;Energy;Houston;www.dynegy.com;-;2,489;NA;
539;McCormick;$4,834.1;Lawrence E. Kurzius;Chairman, President & Chief Executive Officer;Food, Beverages & Tobacco;Food Consumer Products;Sparks, Md.;www.mccormickcorporation.com;-;11,700;NA;
540;T. Rowe Price;$4,793;William J. Stromberg;President, Chief Executive Officer & Director;Financials;Securities;Baltimore;www.troweprice.com;-;6,881;NA;
541;Orbital ATK;$4,764;Blake Larson;President, Chief Executive Officer & Director;Aerospace & Defense;Aerospace and Defense;Dulles, Va.;www.northropgrumman.com;-;13,900;NA;
542;Tutor Perini;$4,757.2;Ronald N. Tutor;Chairman & Chief Executive Officer;Engineering & Construction;Engineering, Construction;Sylmar, Calif.;www.tutorperini.com;-;10,061;NA;
543;Brookdale Senior Living;$4,747.1;Lucinda M. Baier;President, Chief Executive Officer & Director;Health Care;Health Care: Medical Facilities;Brentwood, Tenn.;www.brookdale.com;-;62,550;NA;
544;Huntington Bancshares;$4,740;Stephen D. Steinour;Chairman, President & Chief Executive Officer;Financials;Commercial Banks;Columbus, Ohio;www.huntington.com;-;15,770;NA;
545;Wayfair;$4,720.9;Niraj S. Shah;Co-Chairman, President & Chief Executive Officer;Technology;Internet Services and Retailing;Boston;www.wayfair.com;-;7,751;NA;
546;Rush Enterprises;$4,713.9;W. M. Rush;Chairman, President & Chief Executive Officer;Retailing;Automotive Retailing, Services;New Braunfels, Texas;www.rushenterprises.com;-;6,825;NA;
547;Xylem;$4,707;Patrick K. Decker;President, Chief Executive Officer & Director;Industrials;Industrial Machinery;Rye Brook, N.Y.;www.xyleminc.com;-;16,200;NA;
548;Neiman Marcus Group;$4,706;Geoffroy van Raemdonck;Chairman & Chief Executive Officer;Retailing;Specialty Retailers: Apparel;Dallas;www.neimanmarcusgroup.com;-;13,700;NA;
549;Hyatt Hotels;$4,685;Mark S. Hoplamazian;President, Chief Executive Officer & Director;Hotels, Restaurants & Leisure;Hotels, Casinos, Resorts;Chicago;www.hyatt.com;-;45,000;NA;
550;Sprouts Farmers Market;$4,664.6;Amin N. Maredia;Chairman & Chief Executive Officer;Food & Drug Stores;Food and Drug Stores;Phoenix;www.sprouts.com;-;27,000;NA;
551;Diebold Nixdorf;$4,609.3;Gerrard B. Schmid;President, Chief Executive Officer & Director;Technology;Computers, Office Equipment;North Canton, Ohio;www.dieboldnixdorf.com;-;23,000;NA;
552;Roper Technologies;$4,607.5;L. Neil Hunn;Chairman, President & Chief Executive Officer;Technology;Scientific,Photographic and  Control Equipment;Sarasota, Fla.;www.ropertech.com;-;14,236;NA;
553;Smart & Final Stores;$4,570.6;David G. Hirz;President, Chief Executive Officer & Director;Food & Drug Stores;Food and Drug Stores;Commerce, Calif.;www.smartandfinal.com;-;7,570;NA;
554;CommScope Holding;$4,560.6;Marvin S. Edwards Jr.;President, Chief Executive Officer & Director;Technology;Network and Other Communications Equipment;Hickory, N.C.;www.commscope.com;-;20,000;NA;
555;Tapestry;$4,488.3;NA;NA;Technology;NA;NA;NA;NA;NA;NA;
556;Diplomat Pharmacy;$4,485.2;Brian Griffin;Interim Chief Executive Officer & Director;Health Care;Health Care: Pharmacy and Other Services;Flint, Mich.;www.diplomatpharmacy.com;-;2,298;NA;
557;Chipotle Mexican Grill;$4,476.4;Brian R. Niccol;Chairman & Chief Executive Officer;Hotels, Restaurants & Leisure;Food Services;Denver;www.chipotle.com;-;68,890;NA;
558;Agilent Technologies;$4,472;Michael R. McMullen;President, Chief Executive Officer & Director;Technology;Scientific,Photographic and  Control Equipment;Santa Clara, Calif.;www.agilent.com;-;13,500;NA;
559;Science Applications International;$4,454;Anthony J. Moraco;Chairman & Chief Executive Officer;Technology;Information Technology Services;Reston, Va.;www.saic.com;-;15,391;NA;
560;MDU Resources Group;$4,443.8;David L. Goodin;President, Chief Executive Officer & Director;Energy;Energy;Bismarck, N.D.;www.mdu.com;-;10,140;NA;
