rank;title;revenue;ceo;position;sector;industry;hq;website;years;employees;image;
705;Ashland Global Holdings;$3,260;William A. Wulfsohn;Chairman & Chief Executive Officer;Chemicals;Chemicals;Covington, Ky.;www.ashland.com;-;6,500;NA;
706;Meritage Homes;$3,241;Steven J. Hilton;Chairman & Chief Executive Officer;Engineering & Construction;Homebuilders;Scottsdale, Ariz.;www.meritagehomes.com;-;1,605;NA;
707;SkyWest;$3,204.3;Russell A. Childs;President, Chief Executive Officer & Director;Transportation;Airlines;St. George, Utah;www.skywest.com;-;16,300;NA;
708;USG;$3,204;Jennifer F. Scanlon;President, Chief Executive Officer & Director;Materials;Building Materials, Glass;Chicago;www.usg.com;-;6,800;NA;
709;Southwestern Energy;$3,203;William J. Way;President, Chief Executive Officer & Director;Energy;Mining, Crude-Oil Production;Spring, Texas;www.swn.com;-;1,575;NA;
710;Keysight Technologies;$3,189;Ronald S. Nersesian;President, Chief Executive Officer & Director;Technology;Scientific,Photographic and  Control Equipment;Santa Rosa, Calif.;www.keysight.com;-;12,600;NA;
711;Regal Entertainment Group;$3,163;Nisan Cohen;President, Chief Executive Officer & Director;Media;Entertainment;Knoxville, Tenn.;www.cineworldplc.com;-;26,047;NA;
712;Mutual of America Life Insurance;$3,163;John R. Greed;Chairman, President & Chief Executive Officer;Financials;Insurance: Life, Health (Mutual);New York City;www.mutualofamerica.com;-;1,079;NA;
713;Paychex;$3,151.3;Martin Mucci;President, Chief Executive Officer & Director;Business Services;Diversified Outsourcing Services;Rochester, N.Y.;www.paychex.com;-;13,700;NA;
714;Brinker International;$3,150.8;Wyman T. Roberts;President, Chief Executive Officer & Director;Hotels, Restaurants & Leisure;Food Services;Dallas;www.brinker.com;-;57,906;NA;
715;Penn National Gaming;$3,148;Timothy J. Wilmott;Chairman & Chief Executive Officer;Hotels, Restaurants & Leisure;Hotels, Casinos, Resorts;Wyomissing, Pa.;www.pngaming.com;-;18,754;NA;
716;Gannett;$3,146.5;Robert J. Dickey;President, Chief Executive Officer & Director;Media;Publishing, Printing;McLean, Va.;www.gannett.com;-;19,000;NA;
717;Visteon;$3,146;Sachin S. Lawande;President, Chief Executive Officer & Director;Motor Vehicles & Parts;Motor Vehicles and Parts;Van Buren Township, Mich.;www.visteon.com;-;10,000;NA;
718;Pinnacle Foods;$3,144;Mark A. Clouse;Chairman & Chief Executive Officer;Food, Beverages & Tobacco;Food Consumer Products;Parsippany, N.J.;www.pinnaclefoods.com;-;4,900;NA;
